,cidade_estado,endereco,lat_lon,latitude,longitude
0,"Abaetetuba, Pará","Abaetetuba - State of Pará, 68440-000, Brazil","(-1.7253096, -48.8797998)",-1.7253096,-48.8797998
1,"Abaiara, Ceará","Abaiara - State of Ceará, Brazil","(-7.3606417, -39.0477953)",-7.3606417,-39.0477953
2,"Abreu e lima, Pernambuco","Abreu e Lima - State of Pernambuco, Brazil","(-7.9201321, -34.90885360000001)",-7.9201321,-34.90885360000001
3,"Acaraú, Ceará","Acaraú - State of Ceará, Brazil","(-2.897903, -40.1192437)",-2.897903,-40.1192437
4,"Acari, Não Informado","Acari, Rio de Janeiro - State of Rio de Janeiro, Brazil","(-22.8255312, -43.34446)",-22.8255312,-43.34446
5,"Acari, Rio Grande do Norte","Acari - State of Rio Grande do Norte, 59370-000, Brazil","(-6.435123399999999, -36.6408382)",-6.435123399999999,-36.6408382
6,"Acopiara, Ceará","Acopiara - State of Ceará, 63560-000, Brazil","(-6.0949221, -39.45993)",-6.0949221,-39.45993
7,"Afogados da ingazeira, Pernambuco","Afogados da Ingazeira - State of Pernambuco, Brazil","(-7.747261599999999, -37.6173695)",-7.747261599999999,-37.6173695
8,"Afonso bezerra, Rio Grande do Norte","Afonso Bezerra - State of Rio Grande do Norte, Brazil","(-5.4999078, -36.5072099)",-5.4999078,-36.5072099
9,"Afrânio, Pernambuco","Afrânio - State of Pernambuco, 56360-000, Brazil","(-8.5164821, -41.0082651)",-8.5164821,-41.0082651
10,"Agua nova, Rio Grande do Norte","Água Nova, RN, 59995-000, Brazil","(-6.203913, -38.2944834)",-6.203913,-38.2944834
11,"Aiuaba, Ceará","Aiuaba - State of Ceará, Brazil","(-6.5651065, -40.2271243)",-6.5651065,-40.2271243
12,"Alagoa grande, Paraíba","Alagoa Grande - State of Paraíba, Brazil","(-7.0390517, -35.6300859)",-7.0390517,-35.6300859
13,"Alagoa nova, Paraíba","Alagoa Nova - State of Paraíba, Brazil","(-7.0602503, -35.7588429)",-7.0602503,-35.7588429
14,"Alagoinhas, Bahia","Alagoinhas, BA, Brazil","(-12.1339689, -38.4211223)",-12.1339689,-38.4211223
15,"Alagoinhas, Rio Grande do Norte","Lagoinha, Mossoró - RN, Brazil","(-5.0647955, -37.4013219)",-5.0647955,-37.4013219
16,"Alegrete, Rio Grande do Sul","Alegrete - RS, Brazil","(-29.7445673, -55.9358581)",-29.7445673,-55.9358581
17,"Alexandria, Não Informado",,,,
18,"Alexandria, Rio Grande do Norte","Alexandria - State of Rio Grande do Norte, Brazil","(-6.4148686, -38.0126303)",-6.4148686,-38.0126303
19,"Alexandria, São Paulo","Vila Alexandria, São Paulo - SP, Brazil","(-23.6400967, -46.66932689999999)",-23.6400967,-46.66932689999999
20,"Alfenas, Minas Gerais","Alfenas - State of Minas Gerais, Brazil","(-21.4245379, -45.9470255)",-21.4245379,-45.9470255
21,"Alhandra, Paraíba","Alhandra - State of Paraíba, 58320-000, Brazil","(-7.4327067, -34.9115988)",-7.4327067,-34.9115988
22,"Almeirim, Pará","Almeirim - State of Pará, 68230-000, Brazil","(-1.5274923, -52.5787913)",-1.5274923,-52.5787913
23,"Almino afonso, Não Informado","Almino Afonso - State of Rio Grande do Norte, Brazil","(-6.1578113, -37.766239)",-6.1578113,-37.766239
24,"Almino afonso, Rio Grande do Norte","Almino Afonso - State of Rio Grande do Norte, Brazil","(-6.1578113, -37.766239)",-6.1578113,-37.766239
25,"Alta floresta d'oeste, Rondônia","Alta Floresta d'Oeste - State of Rondônia, 76954-000, Brazil","(-12.607055, -62.16885719999999)",-12.607055,-62.16885719999999
